id	filename	md5	size	state
0025fa64-c09a-4840-814c-98411b3c4c74	TCGA-B8-4153-11A-01-TS1.542150cc-c2a8-4157-a688-c4c5a65a8c1d.svs	7402667637e63b32edb278b5360dd7b3	118288977	live
0084e4aa-a49c-4d25-8526-7f4e82259528	TCGA-B0-5083-11A-01-TS1.df1fcb55-f038-4f6d-98c2-ccbe81e0d793.svs	347074cbeb1065ade569c9cae5ae8eab	139619439	live
008f30d9-e52b-4094-8975-fb9e049c4751	TCGA-CJ-4893-11A-01-TS1.2431ec2a-a407-4151-9b68-95cfebc1fa6f.svs	1af9e107634b949877e17c0457451124	118022369	live
009e9b9c-f71a-4365-84d5-3b01f490eda4	TCGA-A3-A6NJ-11A-01-TS1.129CB7FA-9224-42F2-9F2C-9FFCA5C7445E.svs	554fbdf031aafea82d15aa67a056dd1a	25538863	live
010db967-5676-4481-a87f-3a71da2dfa9b	TCGA-CZ-5458-01A-01-TS1.fbe4263c-78a5-447b-ba66-621667fc901e.svs	e31085135151ab1941db616c1e6367a2	253841091	live
010e7dad-8b1b-45e0-9e50-538486372a55	TCGA-AK-3444-01A-02-BS2.59ed7391-d793-4569-9645-aac2ea5d03b6.svs	4c3078fc45ed4fb66af6356229eb1320	74236657	live
011ad4e8-babe-48c3-8976-0c87d234ae29	TCGA-CJ-4895-11A-01-TS1.d1005fed-cbac-4fbf-a6d9-cb143d635b20.svs	2a3f454a8e315a4ce4e88ec8af1945a3	229488621	live
012ef812-62ca-4fd2-a1b0-9bb2bc7e89b0	TCGA-BP-4173-11A-01-TS1.aeac635c-58df-4094-9d09-88da9a6080a5.svs	0a1e555c830caa31d26b7ffa7fd7e64a	147331503	live
014325de-4ab0-45d3-941e-1193cd7b46f1	TCGA-CZ-4857-11A-01-TS1.23a6711b-8c4e-4c3f-be78-840ba194163f.svs	6d566add3ead4309dc153b2b45ea0e35	196812817	live
0166e017-44db-411e-acbd-e5623c7d6422	TCGA-A3-3308-11A-01-TS1.4857201c-2ab7-4d90-bfba-15fa286e4e89.svs	1c6926316850bb9f240fee9bc87ec8d6	108505871	live
0197413d-b159-4ab4-8c01-9254fa7e460a	TCGA-B2-5633-01A-01-TS1.688e0beb-3cf4-424a-b875-da426fee338d.svs	e619319a62aaf0ad10892ef2b03c0c9e	183261109	live
01fced28-8081-47d2-9375-9c1c4215ad3c	TCGA-B0-4822-01A-01-TS1.bf16e3a2-764a-473d-98b3-0975491d139a.svs	793b7608dcb07d6b9c7865a0d21df8d3	80832961	live
02177ad9-0c16-49ac-a403-04241eba714e	TCGA-CJ-5680-01A-01-TS1.735fab68-e36f-4cff-9362-0feec9f8222c.svs	5794238cb4947e9c6402215fc7ac4da1	457472109	live
0217eefa-c18c-4a29-a892-d72338678c47	TCGA-B0-5693-01A-01-TS1.6eff22c4-bfb8-488e-8504-5afe22277773.svs	7476ec2b226fabc206dd076615353a90	281274329	live
021bd580-b28d-4cbb-927a-67063bf073eb	TCGA-B0-4836-11A-01-BS1.3fe6e029-5b86-491a-a0db-ffa097c2f6ab.svs	afec8c2b58a373a633f4cd18f9e28621	263360281	live
02250996-fa42-498c-b61d-6f3c9f8d4630	TCGA-CJ-4913-11A-01-TS1.34302481-fdd7-4972-b65e-792a85d0079e.svs	71efbde9c11f5141defe6dabe2b0d64f	281297739	live
02290ebf-52f0-45d8-a38f-bf11c58ceebb	TCGA-BP-5004-01A-01-BS1.7271349c-bf09-483c-8e4a-f0e2b4cab26e.svs	c270c5099006ea293521d029a2731a45	117086565	live
02422056-2dfc-414c-a98c-4c7d5e826309	TCGA-A3-3319-01A-01-BS1.89b0df5d-7191-4d4c-8fbe-051d2209de47.svs	15127ab52f9afa75d759fb81d74b0628	118503069	live
0245b7ba-219c-414a-8d98-cce634d6cded	TCGA-CJ-4878-11A-01-TS1.dd88ef48-48db-4b72-b80d-0bc8eec131e0.svs	6a8b1d2ea43a3bf6a41bcba0f3c4853c	266993749	live
0254ac51-944b-4dc3-ae4b-e82bdb31ae85	TCGA-BP-5191-01A-01-TS1.243c9d74-5c37-4452-a810-1b2a0ce8035d.svs	5ee05fe426fafa9357540ee774a21a49	103049031	live
02ce9b95-9166-4326-9b1c-1f56d098de6b	TCGA-B8-5546-11A-01-TS1.57212fcd-4321-4d51-ad73-5c0fe2e5f137.svs	247c4c70388fee1f76ec0f9a3a52edca	85225351	live
02da250f-4324-4332-b20a-2f136c1a4956	TCGA-BP-5004-01A-01-TS1.39040138-c857-48f5-859d-2c9d9c9e7ec4.svs	e8c84407cacdec74bc341b3ffb6c1767	177930197	live
02df1fef-83a2-43ea-b6db-0d0790882c96	TCGA-BP-5198-01A-01-BS1.10858d2c-48ec-4571-9468-766a942692df.svs	a788d08adbb955bf17cfe22560762263	598605681	live
031823d0-8c8f-44e8-9f70-49c8c2c8948e	TCGA-A3-3363-11A-01-TS1.15604ab5-26df-4619-89de-92ea547ca298.svs	eb99a9cae790d83855a874e8f62716f6	193965731	live
0333c828-3b96-439a-8add-80acaecdc452	TCGA-CJ-4637-01A-02-BS2.a59a82e4-5f31-42d4-9056-f6bd64d4ea0b.svs	d3a68dcb520e42547a53cb17927380c7	272179145	live
03378e1b-5ffb-4749-ab29-1385dea1d9d5	TCGA-B2-3924-11A-01-TS1.b7574432-f2bd-4902-bf09-47774f405f17.svs	63db866747a7bf7cad966b08d1f210bf	218497951	live
03452f62-35d2-461c-bc92-9777f516e53b	TCGA-CJ-4642-11A-01-TS1.5da4fd74-bb37-40e5-b088-0609ebc51aec.svs	17381580e4522b4861893bc69cecb84f	302419665	live
03667707-cb94-4979-b0d8-31cf581bd2b6	TCGA-BP-4770-11A-01-TS1.c19a33a7-91f0-4ceb-8e80-dff4ccb3f538.svs	b0e4e7a307c8191cc8fdb3b3e294ece6	102588235	live
038fa063-b97a-4aca-93fd-c6c1b3e1ea6e	TCGA-B0-4842-01A-01-BS1.4de69862-a2b2-457a-bb1c-9392ad7f619e.svs	4a57a4371fc09acf38594f059f4fc83f	330075059	live
03d788f2-3b14-470f-a614-fd887a5ca0a0	TCGA-B0-4834-01A-01-BS1.7376538c-5092-42cc-8ab6-fc90733a45b5.svs	62987ae55624fcbb9ac690a1c73507eb	203508191	live
03dc5fd1-9fa9-4f85-a9b9-18280a520939	TCGA-B0-4699-01A-01-BS1.cdb8ebe8-0b5f-4b9f-8674-99f11a560624.svs	0e5f85b9dd32c4a56da53fdac1adf2c1	421016685	live
0449b8b2-92d7-49ea-a299-1f17fe215b90	TCGA-CJ-4894-01A-01-BS1.8630791c-32b3-493f-b2d2-c316f9e35641.svs	798d4982464892d176b75706feadb651	278039385	live
04ac21b7-0009-44cd-a558-d66a473c0d22	TCGA-BP-4337-11A-01-TS1.1e7ce1da-d1f3-4df1-ad44-a84354fcd5e6.svs	813a21ed3a241d3af6f17f21b1e4bc69	356942283	live
04ace67e-1ee1-4b54-b6c7-7819b8edaec7	TCGA-CJ-5689-11A-01-TS1.07599a75-3125-43aa-9c3c-a6b2e8462203.svs	69c629882ec24bcd91eb7b32b129c3b8	142811221	live
04bac66c-0157-4142-9e08-91a50de6566f	TCGA-B0-4838-01A-01-BS1.069ef5da-f919-4525-823a-e820c043dac1.svs	386f5d028340ee7ffd2dc02fda8374a8	185350485	live
04d2b6d4-d5ee-4d00-b60d-be6cbee9afc7	TCGA-CZ-5454-01A-01-BS1.b5e5e9cf-7890-4526-803f-4e0e40798e40.svs	1aa5bb994976c2aa55f6cb3a53233936	209405547	live
050b054f-ceca-45da-b879-3ce6cc3ee25f	TCGA-B0-4706-01A-01-BS1.28848ee2-2746-4f5f-89f6-3691fd1796cc.svs	160ceef404eab62b094e67f80b268c5d	1111518385	live
0550768c-c0a6-4521-b57d-55d615264e8a	TCGA-CZ-5453-01A-01-BS1.2a643f3a-2e24-4708-880b-d8f5b50b8f96.svs	5c833d86eb6628b76919334b765837c1	167265257	live
055e1fc3-5be1-4146-8e18-e161c7bb8e8c	TCGA-BP-4760-01A-01-BS1.6a2598b6-f000-4e6a-b404-179300159066.svs	396e622b46c56109336c34979c3b25fd	110936013	live
05677869-8a5b-4e3a-a906-1a0e39e6d9c9	TCGA-CZ-4866-01A-01-BS1.65fd9617-2d67-40ff-b58e-d40ac606d635.svs	416729025162ba8cbfb7dfed62a5b130	171207595	live
059af07c-f241-446d-9b05-63cf0b1c6679	TCGA-BP-4973-01A-01-TS1.0f01e1d3-d779-4f29-b29c-578911726470.svs	86313fcad476dfc8793694d190d92cf0	253626169	live
059dc779-c810-4082-a2f2-be97ee7db054	TCGA-B0-5693-01A-01-BS1.6faf1c68-2f70-43a3-82c9-4801feeddf7b.svs	5da0d38906129c8cd0060ce4c724405d	200964901	live
05b927d0-2e5a-4f35-a97b-2f3fba57420e	TCGA-AK-3427-01A-01-TS1.653339be-704d-455a-b3a4-f446ee00d59e.svs	52d49ec48bbd89ed3f6b2f2d8bfe81fb	135736201	live
05c4b4c0-5225-4a91-b36d-a762b73e6b94	TCGA-A3-3320-11A-01-TS1.b8f95614-ea24-402e-9bb7-4cc996432726.svs	8d9b427fd9b33a043481254455a744a8	172419447	live
05e6f337-4e71-4e40-9af2-6e67cad6b80c	TCGA-B4-5838-01A-01-TS1.957e3c9d-2141-425d-976b-7898363d4709.svs	55f8c78f8e66f1d301bcd350992d7ebb	165518585	live
05f0a7f3-f454-4304-86c2-b986f56400b8	TCGA-CW-5587-01A-01-TS1.74e9edf5-d055-43b8-a219-a4afd3d1e917.svs	11ed33d912f2fb72e513c4daedd0f2bd	95082061	live
0611abd4-4ffd-4d71-8243-3ac49afad585	TCGA-CJ-4923-01A-01-BS1.6c49528e-d5bf-46f7-8a48-a340d766bd8b.svs	db7da9c0e5b6bc2d62c0b182cc6e87c8	301993739	live
064c1a52-7ede-4821-b9f0-c19d5e6590f0	TCGA-CJ-5686-01A-01-BS1.2d372d87-8d16-4cf1-bf49-c12fa57b71ad.svs	a87c7f8eeccd46f896ede3c567ea211f	249315255	live
0653b4ea-4d52-4015-b45e-8a1321f88bf4	TCGA-AK-3425-01A-01-BS1.6f1fe1eb-4b90-41b6-8077-16c497f96e0d.svs	1aa430198658f606001646a4dcfe3f8d	230901401	live
0666ef53-54f1-4850-927d-e2350dc3bcd8	TCGA-B2-3924-01A-01-BS1.e6911808-4789-4984-b636-510545618587.svs	bf0e8779df650edeb16bac4f90048ed5	204087177	live
068ae8a6-e8b2-4897-bc17-307323edf843	TCGA-A3-3373-01A-02-BS2.7fada3c5-8324-4afb-baea-fe8974d5dff4.svs	7cc08d3d898c4a629d6c0e15e3b42871	46958381	live
06e0862f-8954-4751-b881-a816bcbbd6ad	TCGA-CZ-4863-01A-01-BS1.038689d2-9d7b-4f2c-a655-d474b24d1e1d.svs	3f942367cccb07feefea9dd77d5bac5e	74006185	live
0700ca0d-3cad-4295-ac51-7eb58080f746	TCGA-AK-3428-01A-02-BS2.6df6fe6f-5701-4ec4-965a-64962eca282e.svs	56adf5890df2a825193a19a14ea69a65	123007305	live
074a9bdf-a408-47fb-84d8-059df59cb177	TCGA-B8-4620-01A-01-TS1.f45ec4b6-52aa-496a-b047-3665a98a448f.svs	561a09e801a679c1cd03e09103dbffc7	49989989	live
0761cc2f-5c05-4a3a-bddc-e6e452114aa5	TCGA-DV-5576-01A-01-TS1.ceb2fa99-5517-4cd7-977a-447327900c82.svs	b1dadac8080a3743eed5418757175953	125974647	live
